Air_state,Air_date,Air_value
AK,2020/1/1,62
AK,2020/1/1,29
AK,2020/1/1,27
AL,2020/1/1,49
AL,2020/1/1,77
AL,2020/1/1,0
AL,2020/1/1,20
AL,2020/1/1,38
AL,2020/1/1,0
AL,2020/1/1,37
AL,2020/1/1,0
AL,2020/1/1,57
AL,2020/1/1,0
AR,2020/1/1,25
AR,2020/1/1,43
AR,2020/1/1,35
AR,2020/1/1,65
AR,2020/1/1,56
AR,2020/1/1,34
AR,2020/1/1,86
AZ,2020/1/1,43
AZ,2020/1/1,4
AZ,2020/1/1,65
AZ,2020/1/1,77
AZ,2020/1/1,99
AZ,2020/1/1,31
AZ,2020/1/1,32
AZ,2020/1/1,39
AZ,2020/1/1,63
AZ,2020/1/1,54
CA,2020/1/1,6
CA,2020/1/1,37
CA,2020/1/1,83
CA,2020/1/1,75
CA,2020/1/1,31
CA,2020/1/1,18
CA,2020/1/1,83
CA,2020/1/1,2
CA,2020/1/1,72
CA,2020/1/1,85
CA,2020/1/1,73
CA,2020/1/1,52
CA,2020/1/1,36
CA,2020/1/1,23
CA,2020/1/1,32
CA,2020/1/1,74
CA,2020/1/1,89
CA,2020/1/1,44
CA,2020/1/1,81
CA,2020/1/1,53
CA,2020/1/1,62
CA,2020/1/1,53
CA,2020/1/1,38
CA,2020/1/1,45
CA,2020/1/1,51
CA,2020/1/1,29
CA,2020/1/1,79
CA,2020/1/1,48
CA,2020/1/1,56
CA,2020/1/1,11
CA,2020/1/1,85
CO,2020/1/1,29
CO,2020/1/1,44
CO,2020/1/1,54
CO,2020/1/1,38
CO,2020/1/1,44
CO,2020/1/1,28
CO,2020/1/1,30
CO,2020/1/1,47
CO,2020/1/1,9
CO,2020/1/1,9
CT,2020/1/1,14
CT,2020/1/1,22
CT,2020/1/1,24
CT,2020/1/1,15
CT,2020/1/1,31
CT,2020/1/1,31
DE,2020/1/1,32
DE,2020/1/1,32
FL,2020/1/1,47
FL,2020/1/1,33
FL,2020/1/1,40
FL,2020/1/1,32
FL,2020/1/1,53
FL,2020/1/1,60
FL,2020/1/1,73
FL,2020/1/1,80
FL,2020/1/1,42
FL,2020/1/1,76
FL,2020/1/1,53
FL,2020/1/1,36
FL,2020/1/1,39
FL,2020/1/1,37
FL,2020/1/1,38
FL,2020/1/1,43
FL,2020/1/1,41
FL,2020/1/1,39
FL,2020/1/1,34
FL,2020/1/1,8
GA,2020/1/1,47
GA,2020/1/1,0
GA,2020/1/1,23
GA,2020/1/1,38
GA,2020/1/1,41
GA,2020/1/1,52
GA,2020/1/1,0
GA,2020/1/1,20
GA,2020/1/1,41
GA,2020/1/1,45
GA,2020/1/1,22
GA,2020/1/1,0
GA,2020/1/1,56
GA,2020/1/1,32
HI,2020/1/1,23
HI,2020/1/1,31
HI,2020/1/1,58
IA,2020/1/1,31
IA,2020/1/1,32
IA,2020/1/1,23
IA,2020/1/1,31
IA,2020/1/1,7
IA,2020/1/1,24
IA,2020/1/1,26
IA,2020/1/1,32
ID,2020/1/1,63
ID,2020/1/1,0
ID,2020/1/1,48
ID,2020/1/1,41
ID,2020/1/1,39
ID,2020/1/1,49
ID,2020/1/1,4
ID,2020/1/1,0
ID,2020/1/1,17
ID,2020/1/1,13
IL,2020/1/1,18
IL,2020/1/1,18
IL,2020/1/1,29
IL,2020/1/1,23
IL,2020/1/1,0
IL,2020/1/1,18
IL,2020/1/1,0
IL,2020/1/1,20
IL,2020/1/1,14
IL,2020/1/1,22
IL,2020/1/1,54
IL,2020/1/1,12
IN,2020/1/1,32
IN,2020/1/1,35
IN,2020/1/1,31
IN,2020/1/1,31
IN,2020/1/1,34
IN,2020/1/1,31
IN,2020/1/1,33
IN,2020/1/1,15
IN,2020/1/1,29
IN,2020/1/1,40
IN,2020/1/1,31
IN,2020/1/1,35
IN,2020/1/1,31
IN,2020/1/1,15
IN,2020/1/1,31
IN,2020/1/1,31
IN,2020/1/1,33
IN,2020/1/1,31
KS,2020/1/1,36
KS,2020/1/1,26
KS,2020/1/1,36
KS,2020/1/1,33
KY,2020/1/1,34
KY,2020/1/1,13
KY,2020/1/1,11
KY,2020/1/1,33
KY,2020/1/1,12
KY,2020/1/1,0
KY,2020/1/1,17
KY,2020/1/1,13
LA,2020/1/1,5
LA,2020/1/1,85
LA,2020/1/1,20
LA,2020/1/1,68
LA,2020/1/1,31
LA,2020/1/1,84
LA,2020/1/1,67
MA,2020/1/1,29
MA,2020/1/1,31
MA,2020/1/1,31
MA,2020/1/1,30
MA,2020/1/1,31
MA,2020/1/1,30
MD,2020/1/1,32
MD,2020/1/1,32
MD,2020/1/1,51
ME,2020/1/1,4
ME,2020/1/1,12
ME,2020/1/1,12
ME,2020/1/1,31
MI,2020/1/1,34
MI,2020/1/1,32
MI,2020/1/1,19
MI,2020/1/1,32
MI,2020/1/1,55
MI,2020/1/1,23
MI,2020/1/1,27
MI,2020/1/1,0
MI,2020/1/1,24
MI,2020/1/1,31
MI,2020/1/1,0
MI,2020/1/1,0
MI,2020/1/1,0
MI,2020/1/1,0
MI,2020/1/1,33
MI,2020/1/1,0
MN,2020/1/1,28
MN,2020/1/1,23
MN,2020/1/1,32
MN,2020/1/1,31
MN,2020/1/1,13
MN,2020/1/1,0
MN,2020/1/1,17
MN,2020/1/1,23
MO,2020/1/1,0
MO,2020/1/1,37
MO,2020/1/1,0
MO,2020/1/1,0
MO,2020/1/1,0
MO,2020/1/1,0
MO,2020/1/1,18
MS,2020/1/1,23
MS,2020/1/1,55
MS,2020/1/1,60
MS,2020/1/1,85
MS,2020/1/1,0
MS,2020/1/1,0
MT,2020/1/1,7
MT,2020/1/1,9
MT,2020/1/1,5
MT,2020/1/1,12
MT,2020/1/1,39
MT,2020/1/1,30
MT,2020/1/1,49
NC,2020/1/1,3
NC,2020/1/1,14
NC,2020/1/1,24
NC,2020/1/1,30
NC,2020/1/1,15
NC,2020/1/1,14
NC,2020/1/1,0
NC,2020/1/1,33
NC,2020/1/1,0
NC,2020/1/1,0
NC,2020/1/1,42
NC,2020/1/1,12
NC,2020/1/1,13
NC,2020/1/1,16
NC,2020/1/1,20
NC,2020/1/1,18
ND,2020/1/1,31
ND,2020/1/1,31
ND,2020/1/1,28
ND,2020/1/1,25
NE,2020/1/1,8
NE,2020/1/1,0
NH,2020/1/1,29
NH,2020/1/1,0
NH,2020/1/1,26
NH,2020/1/1,0
NH,2020/1/1,32
NJ,2020/1/1,30
NJ,2020/1/1,24
NJ,2020/1/1,31
NJ,2020/1/1,38
NM,2020/1/1,54
NM,2020/1/1,39
NM,2020/1/1,0
NM,2020/1/1,36
NM,2020/1/1,33
NM,2020/1/1,41
NM,2020/1/1,45
NM,2020/1/1,63
NV,2020/1/1,40
NV,2020/1/1,0
NV,2020/1/1,33
NV,2020/1/1,18
NV,2020/1/1,57
NV,2020/1/1,51
NY,2020/1/1,31
NY,2020/1/1,35
NY,2020/1/1,30
NY,2020/1/1,30
NY,2020/1/1,32
NY,2020/1/1,37
NY,2020/1/1,35
NY,2020/1/1,30
NY,2020/1/1,30
NY,2020/1/1,32
OH,2020/1/1,24
OH,2020/1/1,0
OH,2020/1/1,16
OH,2020/1/1,20
OH,2020/1/1,44
OH,2020/1/1,24
