Air_state,Air_date,Air_value
AK,2020/1/1,39.3
AL,2020/1/1,46.3
AR,2020/1/1,49.1
AZ,2020/1/1,50.7
CA,2020/1/1,51.8
CO,2020/1/1,33.2
CT,2020/1/1,22.8
DE,2020/1/1,32
FL,2020/1/1,45.2
GA,2020/1/1,37.9
HI,2020/1/1,37.3
IA,2020/1/1,25.8
ID,2020/1/1,34.2
IL,2020/1/1,22.8
IN,2020/1/1,30.5
KS,2020/1/1,32.8
KY,2020/1/1,19
LA,2020/1/1,51.4
MA,2020/1/1,30.3
MD,2020/1/1,38.3
ME,2020/1/1,14.8
MI,2020/1/1,31
MN,2020/1/1,23.9
MO,2020/1/1,27.5
MS,2020/1/1,55.8
MT,2020/1/1,21.6
NC,2020/1/1,19.5
ND,2020/1/1,28.8
NE,2020/1/1,8
NH,2020/1/1,29
NJ,2020/1/1,30.8
NM,2020/1/1,44.4
NV,2020/1/1,39.8
NY,2020/1/1,32.2
OH,2020/1/1,21.2
OK,2020/1/1,23
OR,2020/1/1,18.8
PA,2020/1/1,31.5
SC,2020/1/1,37.1
SD,2020/1/1,26
TN,2020/1/1,22.1
TX,2020/1/1,37
UT,2020/1/1,42.6
VA,2020/1/1,18.7
VT,2020/1/1,31.8
WA,2020/1/1,21.7
WI,2020/1/1,36.8
WV,2020/1/1,27
WY,2020/1/1,40
AK,2020/1/2,27.3
AL,2020/1/2,32
AR,2020/1/2,36.2
AZ,2020/1/2,36.2
CA,2020/1/2,48.6
CO,2020/1/2,34
CT,2020/1/2,36.8
DE,2020/1/2,33
FL,2020/1/2,42.6
GA,2020/1/2,37.3
HI,2020/1/2,18.3
IA,2020/1/2,29.6
ID,2020/1/2,32
IL,2020/1/2,30.6
IN,2020/1/2,31.1
KS,2020/1/2,31.2
KY,2020/1/2,19.3
LA,2020/1/2,33.4
MA,2020/1/2,39.3
MD,2020/1/2,49.3
ME,2020/1/2,25.8
MI,2020/1/2,29.2
MN,2020/1/2,25.6
MO,2020/1/2,40
MS,2020/1/2,29.5
MT,2020/1/2,21.1
