Province_State,confirmed,deaths,Date,ICU_Beds,Total_Population,Population_Aged_60_plus,usa_state_latitude,Mortality_Rate,Residents_Aged_60_plus_Per_Each_ICU_Bed,mask,face mask,covid-19,coronavirus,sanitizer,usa_state_code,Air_value_avg_perday
Alabama,0.0,0.0,2020/1/22,1533.0,4850771.0,1065625.0,32.318231,0.0,695.1239399869537,20,2,0,77,1,AL,20.5
Alaska,0.0,0.0,2020/1/22,119.0,738565.0,117047.0,63.588753,0.0,983.5882352941177,10,5,0,85,0,AK,22.666666666666668
Arizona,0.0,0.0,2020/1/22,1559.0,6809946.0,1502688.0,34.048928,0.0,963.879409878127,15,1,0,83,1,AZ,31.2
Arkansas,0.0,0.0,2020/1/22,732.0,2977944.0,655552.0,35.20105,0.0,895.5628415300547,19,3,0,78,0,AR,36.42857142857143
California,0.0,0.0,2020/1/22,7338.0,3.8982847E7,7292299.0,36.778261,0.0,993.7720087217225,21,3,0,76,0,CA,38.806451612903224
Colorado,0.0,0.0,2020/1/22,1597.0,5436519.0,1031196.0,39.550051,0.0,645.7082028804008,16,3,0,81,0,CO,35.7
Connecticut,0.0,0.0,2020/1/22,674.0,3594478.0,805545.0,41.603221,0.0,1195.1706231454007,20,3,0,76,1,CT,56.5
Delaware,0.0,0.0,2020/1/22,186.0,943732.0,220732.0,38.910832,0.0,1186.731182795699,27,0,0,68,5,DE,48.0
Florida,0.0,0.0,2020/1/22,5604.0,2.0278447E7,5200132.0,27.664827,0.0,927.9321912919344,17,3,0,80,0,FL,40.6
Georgia,0.0,0.0,2020/1/22,2508.0,1.0201635E7,1863154.0,32.157435,0.0,742.884370015949,21,3,0,76,0,GA,30.285714285714285
Hawaii,0.0,0.0,2020/1/22,201.0,1421658.0,326878.0,19.898682,0.0,1626.2587064676618,18,2,0,76,4,HI,23.0
Idaho,0.0,0.0,2020/1/22,314.0,1657375.0,342148.0,44.068202,0.0,1089.6433121019109,16,2,0,82,0,ID,27.6
Illinois,0.0,0.0,2020/1/22,3144.0,1.2854526E7,2614633.0,40.633125,0.0,831.6262722646311,17,1,0,81,1,IL,46.333333333333336
