date_trends,geoName,mask,face mask,covid-19,coronavirus,sanitizer
2020/1/20,Alabama,32,4,0,63,1
2020/1/20,Alaska,17,0,0,83,0
2020/1/20,Arizona,30,3,0,65,2
2020/1/20,Arkansas,32,7,0,61,0
2020/1/20,California,32,5,0,62,1
2020/1/20,Colorado,29,6,0,63,2
2020/1/20,Connecticut,32,3,0,61,4
2020/1/20,Delaware,34,13,0,47,6
2020/1/20,District of Columbia,25,5,0,65,5
2020/1/20,Florida,30,6,0,63,1
2020/1/20,Georgia,27,5,0,66,2
2020/1/20,Hawaii,29,5,0,66,0
2020/1/20,Idaho,18,10,0,72,0
2020/1/20,Illinois,32,7,0,60,1
2020/1/20,Indiana,27,6,0,64,3
2020/1/20,Iowa,38,5,0,54,3
2020/1/20,Kansas,29,4,0,65,2
2020/1/20,Kentucky,29,7,0,64,0
2020/1/20,Louisiana,30,3,0,65,2
2020/1/20,Maine,18,7,0,75,0
2020/1/20,Maryland,25,5,0,69,1
2020/1/20,Massachusetts,29,3,0,67,1
2020/1/20,Michigan,31,3,0,65,1
2020/1/20,Minnesota,27,4,0,68,1
2020/1/20,Mississippi,30,5,0,65,0
2020/1/20,Missouri,34,2,0,62,2
2020/1/20,Montana,10,7,0,83,0
2020/1/20,Nebraska,40,3,0,54,3
2020/1/20,Nevada,33,5,0,62,0
2020/1/20,New Hampshire,23,9,0,62,6
2020/1/20,New Jersey,38,5,0,56,1
2020/1/20,New Mexico,25,8,0,61,6
2020/1/20,New York,36,4,0,58,2
2020/1/20,North Carolina,32,7,0,60,1
2020/1/20,North Dakota,36,9,0,55,0
2020/1/20,Ohio,30,5,0,63,2
2020/1/20,Oklahoma,26,6,0,63,5
2020/1/20,Oregon,24,3,0,71,2
2020/1/20,Pennsylvania,27,2,0,67,4
2020/1/20,Rhode Island,24,5,0,71,0
2020/1/20,South Carolina,27,5,0,65,3
2020/1/20,South Dakota,17,0,0,83,0
2020/1/20,Tennessee,26,6,0,67,1
2020/1/20,Texas,27,3,0,69,1
2020/1/20,Utah,39,6,0,53,2
2020/1/20,Vermont,42,0,0,58,0
2020/1/20,Virginia,29,5,0,64,2
2020/1/20,Washington,19,2,0,79,0
2020/1/20,West Virginia,40,4,0,56,0
2020/1/20,Wisconsin,32,6,0,61,1
2020/1/20,Wyoming,22,0,0,78,0
2020/1/21,Alabama,17,4,0,78,1
2020/1/21,Alaska,13,0,0,87,0
2020/1/21,Arizona,19,1,0,79,1
2020/1/21,Arkansas,19,4,0,75,2
2020/1/21,California,22,3,0,74,1
2020/1/21,Colorado,20,3,0,77,0
2020/1/21,Connecticut,16,7,0,77,0
2020/1/21,Delaware,28,0,0,63,9
2020/1/21,District of Columbia,19,0,0,78,3
2020/1/21,Florida,20,3,0,77,0
2020/1/21,Georgia,21,4,0,74,1
2020/1/21,Hawaii,20,4,0,76,0
2020/1/21,Idaho,12,2,0,86,0
2020/1/21,Illinois,19,4,0,76,1
2020/1/21,Indiana,22,2,0,74,2
2020/1/21,Iowa,16,2,0,80,2
2020/1/21,Kansas,25,2,0,72,1
2020/1/21,Kentucky,19,4,0,76,1
2020/1/21,Louisiana,23,4,0,71,2
2020/1/21,Maine,38,0,0,62,0
2020/1/21,Maryland,23,0,0,76,1
2020/1/21,Massachusetts,21,3,0,75,1
2020/1/21,Michigan,26,4,0,69,1
2020/1/21,Minnesota,21,2,0,75,2
2020/1/21,Mississippi,27,2,0,71,0
2020/1/21,Missouri,21,2,0,76,1
2020/1/21,Montana,15,0,0,85,0
2020/1/21,Nebraska,25,2,0,73,0
2020/1/21,Nevada,19,5,0,75,1
2020/1/21,New Hampshire,18,3,0,75,4
2020/1/21,New Jersey,26,3,0,70,1
2020/1/21,New Mexico,20,3,0,77,0
2020/1/21,New York,22,3,0,74,1
2020/1/21,North Carolina,20,2,0,76,2
2020/1/21,North Dakota,11,0,0,89,0
2020/1/21,Ohio,22,3,0,74,1
2020/1/21,Oklahoma,18,3,0,78,1
2020/1/21,Oregon,18,2,0,79,1
2020/1/21,Pennsylvania,22,3,0,75,0
2020/1/21,Rhode Island,13,3,0,84,0
2020/1/21,South Carolina,15,1,0,81,3
2020/1/21,South Dakota,21,0,0,79,0
2020/1/21,Tennessee,18,2,0,80,0
2020/1/21,Texas,16,2,0,81,1
2020/1/21,Utah,16,4,0,79,1
2020/1/21,Vermont,25,0,0,75,0
2020/1/21,Virginia,24,1,0,74,1
2020/1/21,Washington,10,1,0,89,0
2020/1/21,West Virginia,23,5,0,72,0
2020/1/21,Wisconsin,26,3,0,71,0
2020/1/21,Wyoming,16,8,0,76,0
2020/1/22,Alabama,20,2,0,77,1
2020/1/22,Alaska,10,5,0,85,0
2020/1/22,Arizona,15,1,0,83,1
2020/1/22,Arkansas,19,3,0,78,0
2020/1/22,California,21,3,0,76,0
2020/1/22,Colorado,16,3,0,81,0
2020/1/22,Connecticut,20,3,0,76,1
2020/1/22,Delaware,27,0,0,68,5
2020/1/22,District of Columbia,13,6,0,79,2
2020/1/22,Florida,17,3,0,80,0
2020/1/22,Georgia,21,3,0,76,0
2020/1/22,Hawaii,18,2,0,76,4
2020/1/22,Idaho,16,2,0,82,0
2020/1/22,Illinois,17,1,0,81,1
2020/1/22,Indiana,28,2,0,70,0
2020/1/22,Iowa,15,3,0,81,1
2020/1/22,Kansas,16,5,0,79,0
2020/1/22,Kentucky,16,3,0,81,0
2020/1/22,Louisiana,21,6,0,71,2
2020/1/22,Maine,16,0,0,84,0
2020/1/22,Maryland,18,3,0,79,0
2020/1/22,Massachusetts,18,3,0,79,0
2020/1/22,Michigan,21,2,0,76,1
2020/1/22,Minnesota,15,2,0,82,1
2020/1/22,Mississippi,28,4,0,68,0
2020/1/22,Missouri,23,0,0,75,2
2020/1/22,Montana,17,10,0,73,0
2020/1/22,Nebraska,18,2,0,78,2
2020/1/22,Nevada,19,3,0,76,2
2020/1/22,New Hampshire,10,2,0,86,2
2020/1/22,New Jersey,22,3,0,73,2
2020/1/22,New Mexico,18,3,0,79,0
2020/1/22,New York,21,5,0,74,0
2020/1/22,North Carolina,19,2,0,78,1
2020/1/22,North Dakota,15,5,0,76,4
2020/1/22,Ohio,19,3,0,78,0
2020/1/22,Oklahoma,14,1,0,81,4
