Mortality_Rate,level_mr,Residents_Aged_60_plus_Per_Each_ICU_Bed,mask,face_mask,covid_19,coronavirus,sanitizer,Air_value_avg_perday,level_ICU_per_60,level_trends_mask,level_trends_face_mask,level_trends_covid_19,level_trends_coronavirus,level_trends_sanitizer,level_air_avg
0.0,1,695.1239399869540,20,2,0,77,1,20.5,1,3,1,1,1,1,1
0.0,1,983.5882352941180,10,5,0,85,0,22.666666666666700,2,2,2,1,2,1,1
0.0,1,963.879409878127,15,1,0,83,1,31.2,2,3,1,1,2,1,1
0.0,1,895.5628415300550,19,3,0,78,0,36.42857142857140,2,3,2,1,2,1,2
0.0,1,993.7720087217230,21,3,0,76,0,38.806451612903200,2,3,2,1,1,1,2
0.0,1,645.7082028804010,16,3,0,81,0,35.7,1,3,2,1,2,1,2
0.0,1,1195.1706231454000,20,3,0,76,1,56.5,3,3,2,1,1,1,3
0.0,1,1186.731182795700,27,0,0,68,5,48.0,3,3,1,1,1,3,2
0.0,1,927.9321912919340,17,3,0,80,0,40.6,2,3,2,1,2,1,2
0.0,1,742.884370015949,21,3,0,76,0,30.285714285714300,1,3,2,1,1,1,1
0.0,1,1626.2587064676600,18,2,0,76,4,23.0,3,3,1,1,1,3,1
0.0,1,1089.6433121019100,16,2,0,82,0,27.6,3,3,1,1,2,1,1
0.0,1,831.6262722646310,17,1,0,81,1,46.333333333333300,2,3,1,1,2,1,2
0.0,1,735.7436861902200,28,2,0,70,0,44.55555555555560,1,3,1,1,1,1,2
0.0,1,1281.056880733950,15,3,0,81,1,43.75,3,3,2,1,2,1,2
0.0,1,782.8057366362450,16,5,0,79,0,28.0,2,3,2,1,2,1,1
0.0,1,680.9985632183910,16,3,0,81,0,45.375,1,3,2,1,2,1,2
0.0,1,726.7866563227310,21,6,0,71,2,35.142857142857100,1,3,3,1,1,2,2
0.0,1,1362.41015625,16,0,0,84,0,33.5,3,3,1,1,2,1,2
0.0,1,1068.7116402116400,18,3,0,79,0,49.666666666666700,3,3,2,1,2,1,3
0.0,1,1110.0942684766200,18,3,0,79,0,54.0,3,3,2,1,2,1,3
0.0,1,919.3227404044570,21,2,0,76,1,32.375,2,3,1,1,1,1,2
0.0,1,973.5807002561910,15,2,0,82,1,42.875,2,3,1,1,2,1,2
0.0,1,746.1941747572820,28,4,0,68,0,35.166666666666700,1,3,2,1,1,1,2
0.0,1,706.4819915254240,23,0,0,75,2,14.428571428571400,1,3,1,1,1,2,1
0.0,1,1518.0969696969700,17,10,0,73,0,25.857142857142900,3,3,3,1,1,1,1
0.0,1,889.4522727272730,18,2,0,78,2,12.0,2,3,1,1,2,2,1
0.0,1,654.8088888888890,19,3,0,76,2,37.166666666666700,1,3,2,1,1,2,2
0.0,1,1291.6198347107400,10,2,0,86,2,31.0,3,2,1,1,3,2,1
0.0,1,1038.7469813391900,22,3,0,73,2,39.0,3,3,2,1,1,2,2
0.0,1,1352.2794117647100,18,3,0,79,0,28.0,3,3,2,1,2,1,1
0.0,1,1063.1409412955500,21,5,0,74,0,37.8,3,3,2,1,1,1,2
0.0,1,949.8581050740910,19,2,0,78,1,23.25,2,3,1,1,2,1,1
0.0,1,635.5252100840340,15,5,0,76,4,27.25,1,3,2,1,1,3,1
0.0,1,782.666566083283,19,3,0,78,0,37.1,2,3,2,1,2,1,2
0.0,1,752.1231203007520,14,1,0,81,4,21.8,2,3,1,1,2,3,1
0.0,1,1409.608497723820,19,2,0,77,2,25.46153846153850,3,3,1,1,1,2,1
0.0,1,955.2079520353420,22,3,0,74,1,46.04347826086960,2,3,2,1,1,1,2
0.0,1,906.0342857142860,22,2,0,75,1,30.75,2,3,1,1,1,1,1
0.0,1,1226.2894736842100,9,0,0,91,0,37.142857142857100,3,2,1,1,3,1,2
0.0,1,642.6704391127210,21,2,0,76,1,34.666666666666700,1,3,1,1,1,1,2
0.0,1,745.0335537990000,15,1,0,84,0,25.695652173913000,1,3,1,1,2,1,1
0.0,1,783.153982300885,17,2,0,78,3,41.42857142857140,2,3,1,1,2,3,2
0.0,1,1661.5851063829800,23,0,0,77,0,37.4,3,3,1,1,1,1,2
0.0,1,1018.9703748488500,20,3,0,77,0,42.57142857142860,3,3,2,1,1,1,2
0.0,1,1165.003162055340,14,2,0,84,0,27.428571428571400,3,3,1,1,2,1,1
0.0,1,718.6830015313940,18,2,0,77,3,35.0,1,3,1,1,1,3,2
0.0,1,1093.3899913718700,18,3,0,78,1,30.526315789473700,3,3,2,1,2,1,1
0.0,1,1211.6078431372500,10,0,0,90,0,43.375,3,2,1,1,3,1,2
0.0,1,695.1239399869540,14,2,0,84,0,19.7,1,3,1,1,2,1,1
0.0,1,983.5882352941180,21,5,0,74,0,19.666666666666700,2,3,2,1,1,1,1
0.0,1,963.879409878127,14,1,0,85,0,39.4,2,3,1,1,2,1,2
0.0,1,895.5628415300550,12,1,0,87,0,21.0,2,2,1,1,3,1,1
0.0,1,993.7720087217230,16,2,0,82,0,43.225806451612900,2,3,1,1,2,1,2
0.0,1,645.7082028804010,14,2,0,84,0,31.4,1,3,1,1,2,1,1
0.0,1,1195.1706231454000,16,1,0,82,1,69.83333333333330,3,3,1,1,2,1,3
0.0,1,1186.731182795700,18,3,0,79,0,58.5,3,3,2,1,2,1,3
0.0,1,927.9321912919340,12,2,0,86,0,45.2,2,2,1,1,3,1,2
0.0,1,742.884370015949,16,2,0,81,1,31.214285714285700,1,3,1,1,2,1,1
0.0,1,1626.2587064676600,16,4,0,79,1,25.0,3,3,2,1,2,1,1
0.0,1,1089.6433121019100,12,1,0,86,1,30.8,3,2,1,1,3,1,1
0.0,1,831.6262722646310,10,1,0,89,0,41.5,2,2,1,1,3,1,2
0.0,1,735.7436861902200,12,1,0,87,0,31.77777777777780,1,2,1,1,3,1,1
0.0,1,1281.056880733950,10,2,0,87,1,42.125,3,2,1,1,3,1,2
0.0,1,782.8057366362450,13,2,0,84,1,27.25,2,3,1,1,2,1,1
0.0,1,680.9985632183910,10,1,0,89,0,22.75,1,2,1,1,3,1,1
0.0,1,726.7866563227310,18,1,0,81,0,33.285714285714300,1,3,1,1,2,1,2
0.0,1,1362.41015625,10,0,0,90,0,45.0,3,2,1,1,3,1,2
0.0,1,1068.7116402116400,15,2,0,83,0,40.333333333333300,3,3,1,1,2,1,2
0.0,1,1110.0942684766200,12,2,0,86,0,64.83333333333330,3,2,1,1,3,1,3
0.0,1,919.3227404044570,13,2,0,85,0,33.6875,2,3,1,1,2,1,2
0.0,1,973.5807002561910,10,1,0,89,0,42.625,2,2,1,1,3,1,2
0.0,1,746.1941747572820,8,4,0,87,1,42.0,1,2,2,1,3,1,2
0.0,1,706.4819915254240,15,3,0,82,0,5.714285714285710,1,3,2,1,2,1,1
0.0,1,1518.0969696969700,11,3,0,86,0,34.142857142857100,3,2,2,1,3,1,2
0.0,1,889.4522727272730,13,1,0,84,2,13.5,2,3,1,1,2,2,1
0.0,1,654.8088888888890,11,1,0,88,0,36.833333333333300,1,2,1,1,3,1,2
0.0,1,1291.6198347107400,11,2,0,87,0,34.6,3,2,1,1,3,1,2
0.0,1,1038.7469813391900,15,2,0,83,0,64.5,3,3,1,1,2,1,3
0.0,1,1352.2794117647100,14,2,0,83,1,33.0,3,3,1,1,2,1,2
0.0,1,1063.1409412955500,16,3,0,80,1,41.0,3,3,2,1,2,1,2
0.0,1,949.8581050740910,11,2,0,87,0,28.375,2,2,1,1,3,1,1
0.0,1,635.5252100840340,20,5,0,71,4,23.75,1,3,2,1,1,3,1
0.0,1,782.666566083283,16,1,0,83,0,30.95,2,3,1,1,2,1,1
0.0,1,752.1231203007520,11,2,0,86,1,17.4,2,2,1,1,3,1,1
0.0,1,1409.608497723820,17,2,0,80,1,26.615384615384600,3,3,1,1,2,1,1
0.0,1,955.2079520353420,16,2,0,82,0,49.17391304347830,2,3,1,1,2,1,3
0.0,1,906.0342857142860,13,1,0,84,2,34.0,2,3,1,1,2,2,2
0.0,1,1226.2894736842100,10,6,0,84,0,50.142857142857100,3,2,3,1,2,1,3
0.0,1,642.6704391127210,7,1,0,92,0,33.55555555555560,1,2,1,1,3,1,2
0.0,1,745.0335537990000,11,1,0,88,0,24.043478260869600,1,2,1,1,3,1,1
0.0,1,783.153982300885,11,2,0,85,2,40.285714285714300,2,2,1,1,2,2,2
0.0,1,1661.5851063829800,8,0,0,87,5,46.4,3,2,1,1,3,3,2
0.0,1,1018.9703748488500,15,2,0,83,0,35.142857142857100,3,3,1,1,2,1,2
0.0,1,1165.003162055340,16,1,0,83,0,27.238095238095200,3,3,1,1,2,1,1
0.0,1,718.6830015313940,18,0,0,80,2,44.166666666666700,1,3,1,1,2,2,2
0.0,1,1093.3899913718700,10,0,0,89,1,30.736842105263200,3,2,1,1,3,1,1
0.0,1,1211.6078431372500,8,8,0,84,0,40.125,3,2,3,1,2,1,2
0.0,1,695.1239399869540,11,1,0,88,0,20.1,1,2,1,1,3,1,1
0.0,1,983.5882352941180,8,0,0,89,3,21.666666666666700,2,2,1,1,3,3,1
0.0,1,963.879409878127,13,1,0,86,0,37.2,2,3,1,1,3,1,2
0.0,1,895.5628415300550,12,2,0,85,1,17.857142857142900,2,2,1,1,2,1,1
0.0,1,993.7720087217230,13,2,0,85,0,46.74193548387100,2,3,1,1,2,1,2
0.0,1,645.7082028804010,9,2,0,89,0,34.3,1,2,1,1,3,1,2
0.0,1,1195.1706231454000,12,1,0,87,0,66.66666666666670,3,2,1,1,3,1,3
0.0,1,1186.731182795700,14,9,0,77,0,44.0,3,3,3,1,1,1,2
0.0,1,927.9321912919340,11,1,0,88,0,7.65,2,2,1,1,3,1,1
0.0,1,742.884370015949,13,2,0,85,0,20.357142857142900,1,3,1,1,2,1,1
0.0,1,1626.2587064676600,10,4,0,86,0,20.666666666666700,3,2,2,1,3,1,1
0.0,1,1089.6433121019100,7,4,0,86,3,29.9,3,2,2,1,3,3,1
0.0,1,831.6262722646310,8,1,0,91,0,35.583333333333300,2,2,1,1,3,1,2
0.0,1,735.7436861902200,11,1,0,88,0,23.555555555555600,1,2,1,1,3,1,1
0.0,1,1281.056880733950,8,1,0,91,0,50.0,3,2,1,1,3,1,3
0.0,1,782.8057366362450,11,3,0,85,1,48.75,2,2,2,1,2,1,3
0.0,1,680.9985632183910,11,3,0,85,1,13.25,1,2,2,1,2,1,1
0.0,1,726.7866563227310,13,2,0,85,0,34.857142857142900,1,3,1,1,2,1,2
0.0,1,1362.41015625,12,4,0,84,0,40.75,3,2,2,1,2,1,2
0.0,1,1068.7116402116400,16,1,0,83,0,58.333333333333300,3,3,1,1,2,1,3
0.0,1,1110.0942684766200,13,2,0,85,0,53.666666666666700,3,3,1,1,2,1,3
0.0,1,919.3227404044570,11,1,0,88,0,28.3125,2,2,1,1,3,1,1
0.0,1,973.5807002561910,7,1,0,92,0,28.25,2,2,1,1,3,1,1
0.0,1,746.1941747572820,9,1,0,89,1,17.166666666666700,1,2,1,1,3,1,1
0.0,1,706.4819915254240,11,1,0,88,0,8.285714285714290,1,2,1,1,3,1,1
0.0,1,1518.0969696969700,11,2,0,87,0,33.714285714285700,3,2,1,1,3,1,2
0.0,1,889.4522727272730,11,1,0,86,2,12.5,2,2,1,1,3,2,1
0.0,1,654.8088888888890,8,1,0,91,0,39.0,1,2,1,1,3,1,2
0.0,1,1291.6198347107400,12,2,0,86,0,32.8,3,2,1,1,3,1,2
0.0,1,1038.7469813391900,13,1,0,86,0,55.25,3,3,1,1,3,1,3
0.0,1,1352.2794117647100,9,0,0,90,1,35.625,3,2,1,1,3,1,2
